,Riksdagsledamot,Parti,Valkrets,chamber,start,end,Yrke
209,Sigurd Carlsson i Solberga,h,Norra valkretsen,Andra kammaren,1921,1921,
210,Sven Bengtsson i Norup,f. 1866,Nordvästra valkretsen,Andra kammaren,1921,1921,
211,Sven Edward Julius Lübeck,h,Andra valkretsen,Andra kammaren,1921,1921,
212,Sven Johan Karlsson i Nynäshamn,f. 1874,Södra valkretsen,Andra kammaren,1921,1921,
213,Sven Ljungkvist,f. 1880,Södra valkretsen,Andra kammaren,1921,1921,
214,Sven Olsson i Labbemåla,f. 1870,Södra valkretsen,Andra kammaren,1921,1921,
215,Svening Alfred Larsson i Kroken,f. 1856,Södra valkretsen,Andra kammaren,1921,1921,
216,Swen Jönsson i Fridhill,f. 1877,Sydöstra valkretsen,Andra kammaren,1921,1921,
217,Swen Persson i Fritorp,f. 1875,Sydöstra valkretsen,Andra kammaren,1921,1921,
218,Theodor Gardell,jordbrukarnas riksförbund,Gotlands län,Andra kammaren,1921,1921,
219,Theodor af Ekenstam,f. 1858,Norra valkretsen,Andra kammaren,1921,1921,
220,Torsten Thorsell,h,Södra valkretsen,Andra kammaren,1921,1921,
221,Ulrik Leander,f. 1858,Blekinge län,Andra kammaren,1921,1921,
222,Valfrid Eriksson i Överbyn,h,Norra valkretsen,Andra kammaren,1921,1921,
223,Verner Hedlund i Sundsvall,f. 1883,Medelpads valkrets,Andra kammaren,1921,1921,
224,Verner Karlsson i Vätö,f. 1882,Norra valkretsen,Andra kammaren,1921,1921,
225,Viktor Larsson i Västerås,s,Östra valkretsen,Andra kammaren,1921,1921,
226,Viktor Öhman,f. 1877,Norra valkretsen,Andra kammaren,1921,1921,
227,Värner Rydén,s,Malmö stad,Andra kammaren,1921,1921,
228,Walter Kant,f. 1872,Uppsala län,Andra kammaren,1921,1921,
229,Werner Bäckström,l,Södra valkretsen,Andra kammaren,1921,1921,
230,A.C. Lindblad,f. 1866,Göteborgs stad,Första kammaren,1921,1921,
231,Aaby Ericsson,f. 1859,Kronobergs län,Första kammaren,1921,1921,
232,Adam Hult,f. 1870,Västmanlands län,Första kammaren,1921,1921,
233,Adolf Berge,f. 1869,Stockholms län,Första kammaren,1921,1921,
234,Albert Bergström,f. 1869,Östergötlands län,Första kammaren,1921,1921,
235,Alexis Björkman,f. 1853,Västmanlands län,Första kammaren,1921,1921,
236,Alfred Petrén,f. 1867,Kopparbergs län,Första kammaren,1921,1921,
237,Anders Antonsson,f. 1856,Malmö stad,Första kammaren,1921,1921,
238,Anders Elisson,f. 1876,Hallands län,Första kammaren,1921,1921,
239,Anders Olof Frändén,f. 1866,Jämtlands län,Första kammaren,1921,1921,
240,Anders Pers,f. 1860,Kopparbergs län,Första kammaren,1921,1921,
241,Anders Örne,s,Örebro län,Första kammaren,1921,1921,
242,Arvid Erikson,f,Stockholms län,Första kammaren,1921,1921,
243,Assar Emanuel Åkerman,s,Södermanlands län,Första kammaren,1921,1921,
244,August Bruhn,f. 1872,Kristianstads län,Första kammaren,1921,1921,
245,August Johansson,f. 1864,Skaraborgs län,Första kammaren,1921,1921,
246,August Ljunggren,f. 1874,Kronobergs län,Första kammaren,1921,1921,
247,Axel Fredrik Wennersten,f. 1863,Älvsborgs län,Första kammaren,1921,1921,
248,Axel Hansson Wachtmeister,f. 1855,Blekinge län,Första kammaren,1921,1921,
249,Axel Herman Georg Rogberg,h,Västerbottens län,Första kammaren,1921,1921,
250,Axel Modig,f. 1859,Södermanlands län,Första kammaren,1921,1921,
251,Axel Olof Rune,f,"Kalmar län, norra delen",Första kammaren,1921,1921,
252,Axel Theodor Adelswärd,f,Östergötlands län,Första kammaren,1921,1921,
253,Axel Träff,f. 1875,Östergötlands län,Första kammaren,1921,1921,
254,Axel Vindahl,f,Örebro län,Första kammaren,1921,1921,
255,Axel von Sneidern,f. 1875,Älvsborgs län,Första kammaren,1921,1921,
256,Carl Albert Lindhagen,f. 1860,Västernorrlands län,Första kammaren,1921,1921,
257,Carl Boberg,f. 1859,"Kalmar län, södra delen",Första kammaren,1921,1921,
258,Carl Grewesmühl,f. 1877,Västmanlands län,Första kammaren,1921,1921,
259,Carl Gustaf Ekman,f. 1872,Gävleborgs län,Första kammaren,1921,1921,
260,Carl Gustaf Wickman,f. 1856,Gävleborgs län,Första kammaren,1921,1921,
261,Carl Johan Gustaf Swartz,h,Norrköpings stad,Första kammaren,1921,1921,
262,Carl Johansson,f. 1856,Malmöhus län,Första kammaren,1921,1921,
263,Carl Romanus,f. 1876,Stockholms stad,Första kammaren,1921,1921,
264,Carl Svensson,f. 1879,Södermanlands län,Första kammaren,1921,1921,
265,Carl Winberg,f. 1867,Norrbottens län,Första kammaren,1921,1921,
266,Carl-Axel Reuterskiöld,f. 1870,Uppsala län,Första kammaren,1921,1921,
267,Charles Lindley,s,Stockholms stad,Första kammaren,1921,1921,
268,Edvard Björnsson,f. 1878,Älvsborgs län,Första kammaren,1921,1921,
269,Edvard Hagfält,f. 1873,Uppsala län,Första kammaren,1921,1921,
270,Edvard Otto Vilhelm Wavrinsky,f. 1848,Västmanlands län,Första kammaren,1921,1921,
271,Edward Larson,f. 1867,Skaraborgs län,Första kammaren,1921,1921,
272,Einar Thulin,f. 1883,Östergötlands län,Första kammaren,1921,1921,
273,En vakant plats,h,Kronobergs län,Första kammaren,1921,1921,
274,Eric Hallin,f. 1870,Göteborgs och Bohus län,Första kammaren,1921,1921,
275,Erik August Enhörning,f. 1860,Västernorrlands län,Första kammaren,1921,1921,
276,Erik Dalberg,f. 1869,Kopparbergs län,Första kammaren,1921,1921,
277,Erland von Hofsten,f. 1870,Skaraborgs län,Första kammaren,1921,1921,
278,Ernst B. Jönson,f. 1866,Göteborgs och Bohus län,Första kammaren,1921,1921,
279,Ernst Klefbeck,f. 1866,Stockholms stad,Första kammaren,1921,1921,
280,Ernst Lyberg,f. 1874,Kopparbergs län,Första kammaren,1921,1921,
281,Ernst Svensson,f. 1880,Skaraborgs län,Första kammaren,1921,1921,
282,Ernst Trygger,f. 1857,Stockholms stad,Första kammaren,1921,1921,
283,Ernst Wigforss,s,Göteborgs stad,Första kammaren,1921,1921,
284,Fredrik Ström,f. 1880,Norrbottens län,Första kammaren,1921,1921,
285,Fritiof Lindskog,f. 1879,Malmöhus län,Första kammaren,1921,1921,
286,Frits Leander Lindqvist,f. 1865,Västernorrlands län,Första kammaren,1921,1921,
287,G.O. Erikson,f. 1876,Stockholms stad,Första kammaren,1921,1921,
288,Gerhard Halfred von Koch,f. 1872,Örebro län,Första kammaren,1921,1921,
289,Gunnar Andersson i Djursholm,f. 1865,Helsingborgs stad,Första kammaren,1921,1921,
290,Gustaf Anton Larsén,f. 1870,Hallands län,Första kammaren,1921,1921,
291,Gustaf Barthelson,f. 1854,Skaraborgs län,Första kammaren,1921,1921,
292,Gustaf Boman,f. 1861,Göteborgs stad,Första kammaren,1921,1921,
293,Gustaf Lagerbjelke,f. 1860,Stockholms län,Första kammaren,1921,1921,
294,Gustaf Malmberg,f. 1869,"Kalmar län, södra delen",Första kammaren,1921,1921,
295,Gustaf Nilsson i Kristianstad,f. 1880,Kristianstads län,Första kammaren,1921,1921,
296,Gustaf Sederholm,h,Södermanlands län,Första kammaren,1921,1921,
297,Gustaf Strömberg,s,Värmlands län,Första kammaren,1921,1921,
298,Gustav Möller,s,Stockholms län,Första kammaren,1921,1921,
299,Gustav Rosén,f,Västerbottens län,Första kammaren,1921,1921,
300,H.G. Andersson,f. 1877,Östergötlands län,Första kammaren,1921,1921,
301,Helge Bäckström,f. 1865,Stockholms län,Första kammaren,1921,1921,
302,Henrik Öhngren,f. 1853,Västernorrlands län,Första kammaren,1921,1921,
303,Herman Kvarnzelius,f,Västernorrlands län,Första kammaren,1921,1921,
304,Herman Lamm,f. 1853,Stockholms stad,Första kammaren,1921,1921,
305,Hjalmar Wijk,f,Göteborgs stad,Första kammaren,1921,1921,
306,Hjalmar von Sydow,h,Örebro län,Första kammaren,1921,1921,
307,Hugo Erik Gustaf Hamilton,f. 1849,Älvsborgs län,Första kammaren,1921,1921,
308,I. Pettersson,f. 1876,Örebro län,Första kammaren,1921,1921,
