,Riksdagsledamot,Parti,Valkrets,chamber,start,end,Yrke
9409,Mats Pertoft,Miljöpartiet de Gröna,Stockholms län,Enkammarriksdagen,2006,2010,
9410,Mats Sander,Moderata samlingspartiet,Skåne läns västra,Enkammarriksdagen,2006,2010,
9411,Maud Olofsson(ersatt av Åke Sandström),Centerpartiet,Västerbottens län,Enkammarriksdagen,2006,2010,
9412,Max Andersson,Miljöpartiet de Gröna,Göteborgs kommun,Enkammarriksdagen,2006,2010,
9413,Mehmet Kaplan,Miljöpartiet de Gröna,Stockholms kommun,Enkammarriksdagen,2006,2010,
9414,Michael Anefur,Kristdemokraterna,Skåne läns norra och östra,Enkammarriksdagen,2006,2010,
9415,Michael Hagberg,Socialdemokraterna,Södermanlands län,Enkammarriksdagen,2006,2010,
9416,Mikael Cederbratt,Moderata samlingspartiet,Västra Götalands läns norra,Enkammarriksdagen,2006,2010,
9417,Mikael Damberg,Socialdemokraterna,Stockholms län,Enkammarriksdagen,2006,2010,
9418,Mikael Johansson,Miljöpartiet de Gröna,Örebro län,Enkammarriksdagen,2006,2010,
9419,Mikael Oscarsson,Kristdemokraterna,Uppsala län,Enkammarriksdagen,2006,2010,
9420,Mikael Sandström(ersatt av Malin Löfsjögård),Moderata samlingspartiet,Stockholms län,Enkammarriksdagen,2006,2010,
9421,Mikaela Valtersson,Miljöpartiet de Gröna,Stockholms län,Enkammarriksdagen,2006,2010,
9422,Mona Sahlin,Socialdemokraterna,Stockholms län,Enkammarriksdagen,2006,2010,
9423,Monica Green,Socialdemokraterna,Västra Götalands läns östra,Enkammarriksdagen,2006,2010,
9424,Morgan Johansson,Socialdemokraterna,Skåne läns södra,Enkammarriksdagen,2006,2010,
9425,Nikos Papadopoulos,Socialdemokraterna,Stockholms kommun,Enkammarriksdagen,2006,2010,
9426,Nils Oskar Nilsson,Moderata samlingspartiet,Stockholms län,Enkammarriksdagen,2006,2010,
9427,Nina Larsson,Folkpartiet liberalerna,Värmlands län,Enkammarriksdagen,2006,2010,
9428,Ola Sundell,Moderata samlingspartiet,Jämtlands län,Enkammarriksdagen,2006,2010,
9429,Olle Thorell,Socialdemokraterna,Västmanlands län,Enkammarriksdagen,2006,2010,
9430,Olof Lavesson,Moderata samlingspartiet,Malmö kommun,Enkammarriksdagen,2006,2010,
9431,Otto von Arnold,Kristdemokraterna,Skåne läns södra,Enkammarriksdagen,2006,2010,
9432,Patrik Björck,Socialdemokraterna,Västra Götalands läns östra,Enkammarriksdagen,2006,2010,
9433,Patrik Forslund,Moderata samlingspartiet,Dalarnas län,Enkammarriksdagen,2006,2010,
9434,Per Bill,Moderata samlingspartiet,Uppsala län,Enkammarriksdagen,2006,2010,
9435,Per Bolund,Miljöpartiet de Gröna,Stockholms kommun,Enkammarriksdagen,2006,2010,
9436,Per Lodenius,Centerpartiet,Stockholms län,Enkammarriksdagen,2006,2010,
9437,Per Svedberg,Socialdemokraterna,Gävleborgs län,Enkammarriksdagen,2006,2010,
9438,Per Westerberg (talman)(ersatt av Peder Wachtmeister),Moderata samlingspartiet,Södermanlands län,Enkammarriksdagen,2006,2010,
9439,Per Åsling,Centerpartiet,Jämtlands län,Enkammarriksdagen,2006,2010,
9440,Peter Eriksson,Miljöpartiet de Gröna,Östergötlands län,Enkammarriksdagen,2006,2010,
9441,Peter Hultqvist,Socialdemokraterna,Dalarnas län,Enkammarriksdagen,2006,2010,
9442,Peter Jeppsson,Socialdemokraterna,Blekinge län,Enkammarriksdagen,2006,2010,
9443,Peter Johnsson,Socialdemokraterna,Västra Götalands läns norra,Enkammarriksdagen,2006,2010,
9444,Peter Pedersen,Vänsterpartiet,Örebro län,Enkammarriksdagen,2006,2010,
9445,Peter Rådberg,Miljöpartiet de Gröna,Västra Götalands läns norra,Enkammarriksdagen,2006,2010,
9446,Phia Andersson,Socialdemokraterna,Västra Götalands läns södra,Enkammarriksdagen,2006,2010,
9447,Pia Nilsson,Socialdemokraterna,Västmanlands län,Enkammarriksdagen,2006,2010,
9448,Raimo Pärssinen,Socialdemokraterna,Gävleborgs län,Enkammarriksdagen,2006,2010,
9449,Renée Jeryd,Socialdemokraterna,Västra Götalands läns norra,Enkammarriksdagen,2006,2010,
9450,Reza Khelili Dylami,Moderata samlingspartiet,Stockholms kommun,Enkammarriksdagen,2006,2010,
9451,Roger Tiefensee,Centerpartiet,Södermanlands län,Enkammarriksdagen,2006,2010,
9452,Roland Bäckman,Socialdemokraterna,Gävleborgs län,Enkammarriksdagen,2006,2010,
9453,Rolf Gunnarsson,Moderata samlingspartiet,Dalarnas län,Enkammarriksdagen,2006,2010,
9454,Rolf K. Nilsson,Moderata samlingspartiet,Gotlands län,Enkammarriksdagen,2006,2010,
9455,Ronny Olander,Socialdemokraterna,Skåne läns södra,Enkammarriksdagen,2006,2010,
9456,Rosita Runegrund,Kristdemokraterna,Västra Götalands läns västra,Enkammarriksdagen,2006,2010,
9457,Rossana Dinamarca,Vänsterpartiet,Västra Götalands läns norra,Enkammarriksdagen,2006,2010,
9458,Rune Wikström,Moderata samlingspartiet,Stockholms län,Enkammarriksdagen,2006,2010,
9459,Sinikka Bohlin,Socialdemokraterna,Gävleborgs län,Enkammarriksdagen,2006,2010,
9460,Siv Holma,Vänsterpartiet,Norrbottens län,Enkammarriksdagen,2006,2010,
9461,Siw Wittgren-Ahl,Socialdemokraterna,Göteborgs kommun,Enkammarriksdagen,2006,2010,
9462,Sofia Arkelsten,Moderata samlingspartiet,Stockholms kommun,Enkammarriksdagen,2006,2010,
9463,Sofia Larsen,Centerpartiet,Örebro län,Enkammarriksdagen,2006,2010,
9464,Solveig Hellquist,Folkpartiet liberalerna,Västernorrlands län,Enkammarriksdagen,2006,2010,
9465,Solveig Ternström,oberoende[2],Stockholms kommun,Enkammarriksdagen,2006,2010,
9466,Solveig Zander,Centerpartiet,Uppsala län,Enkammarriksdagen,2006,2010,
9467,Sonia Karlsson,Socialdemokraterna,Östergötlands län,Enkammarriksdagen,2006,2010,
9468,Staffan Anger,Moderata samlingspartiet,Västmanlands län,Enkammarriksdagen,2006,2010,
9469,Staffan Danielsson,Centerpartiet,Östergötlands län,Enkammarriksdagen,2006,2010,
9470,Stefan Attefall,Kristdemokraterna,Jönköpings län,Enkammarriksdagen,2006,2010,
9471,Stefan Tornberg,Centerpartiet,Norrbottens län,Enkammarriksdagen,2006,2010,
9472,Sten Bergheden,Moderata samlingspartiet,Västra Götalands läns östra,Enkammarriksdagen,2006,2010,
9473,Sten Tolgfors(ersatt av Oskar Öholm),Moderata samlingspartiet,Örebro län,Enkammarriksdagen,2006,2010,
9474,Susanne Eberstein,Socialdemokraterna,Västernorrlands län,Enkammarriksdagen,2006,2010,
9475,Sven Bergström,Centerpartiet,Gävleborgs län,Enkammarriksdagen,2006,2010,
9476,Sven Yngve Persson,Moderata samlingspartiet,Skåne läns västra,Enkammarriksdagen,2006,2010,
9477,Sven-Erik Österberg,Socialdemokraterna,Västmanlands län,Enkammarriksdagen,2006,2010,
9478,Sylvia Lindgren,Socialdemokraterna,Dalarnas län,Enkammarriksdagen,2006,2010,
9479,Thomas Bodström,Socialdemokraterna,Örebro län,Enkammarriksdagen,2006,2010,
9480,Thomas Nihlén,Miljöpartiet de Gröna,Västerbottens län,Enkammarriksdagen,2006,2010,
9481,Thomas Strand,Socialdemokraterna,Jönköpings län,Enkammarriksdagen,2006,2010,
9482,Thomas Östros,Socialdemokraterna,Uppsala län,Enkammarriksdagen,2006,2010,
9483,Tina Acketoft,Folkpartiet liberalerna,Skåne läns västra,Enkammarriksdagen,2006,2010,
9484,Tina Ehn,Miljöpartiet de Gröna,Västra Götalands läns västra,Enkammarriksdagen,2006,2010,
9485,Tobias Billström(ersatt av Staffan Appelros),Moderata samlingspartiet,Malmö kommun,Enkammarriksdagen,2006,2010,
9486,Tobias Krantz(ersatt av Emma Löfdahl Landberg),Folkpartiet liberalerna,Jönköpings län,Enkammarriksdagen,2006,2010,
9487,Tomas Eneroth,Socialdemokraterna,Kronobergs län,Enkammarriksdagen,2006,2010,
9488,Tomas Tobé,Moderata samlingspartiet,Gävleborgs län,Enkammarriksdagen,2006,2010,
9489,Tommy Ternemar,Socialdemokraterna,Värmlands län,Enkammarriksdagen,2006,2010,
9490,Tommy Waidelich,Socialdemokraterna,Stockholms län,Enkammarriksdagen,2006,2010,
9491,Tone Tingsgård,Socialdemokraterna,Uppsala län,Enkammarriksdagen,2006,2010,
9492,Torbjörn Björlund,Vänsterpartiet,Östergötlands län,Enkammarriksdagen,2006,2010,
9493,Ulf Berg,Moderata samlingspartiet,Dalarnas län,Enkammarriksdagen,2006,2010,
9494,Ulf Grape,Moderata samlingspartiet,Västerbottens län,Enkammarriksdagen,2006,2010,
9495,Ulf Holm,Miljöpartiet de Gröna,Skåne läns södra,Enkammarriksdagen,2006,2010,
9496,Ulf Nilsson,Folkpartiet liberalerna,Skåne läns södra,Enkammarriksdagen,2006,2010,
9497,Ulla Andersson,Vänsterpartiet,Gävleborgs län,Enkammarriksdagen,2006,2010,
9498,Ulrika Carlsson i Skövde,Centerpartiet,Västra Götalands läns östra,Enkammarriksdagen,2006,2010,
9499,Ulrika Karlsson i Uppsala,Moderata samlingspartiet,Uppsala län,Enkammarriksdagen,2006,2010,
9500,Urban Ahlin,Socialdemokraterna,Västra Götalands läns östra,Enkammarriksdagen,2006,2010,
9501,Veronica Palm,Socialdemokraterna,Stockholms kommun,Enkammarriksdagen,2006,2010,
9502,Walburga Habsburg Douglas,Moderata samlingspartiet,Södermanlands län,Enkammarriksdagen,2006,2010,
9503,Wiwi-Anne Johansson,Vänsterpartiet,Västra Götalands läns västra,Enkammarriksdagen,2006,2010,
9504,Yilmaz Kerimo,Socialdemokraterna,Stockholms län,Enkammarriksdagen,2006,2010,
9505,Ylva Johansson,Socialdemokraterna,Skåne läns norra och östra,Enkammarriksdagen,2006,2010,
9506,Yvonne Andersson,Kristdemokraterna,Östergötlands län,Enkammarriksdagen,2006,2010,
9507,Åsa Lindestam,Socialdemokraterna,Gävleborgs län,Enkammarriksdagen,2006,2010,
9508,Åsa Torstensson(ersatt av Maria Kornevik Jakobsson),Centerpartiet,Västra Götalands läns västra,Enkammarriksdagen,2006,2010,
9509,Abdirizak Waberi,M,Göteborgs kommun,Enkammarriksdagen,2010,2014,
9510,Abir Al-Sahlani,C,Stockholms kommun,Enkammarriksdagen,2010,2014,
9511,Adnan Dibrani,S,Hallands län,Enkammarriksdagen,2010,2014,
9512,Agneta Börjesson,MP,Hallands län,Enkammarriksdagen,2010,2014,
9513,Agneta Gille,S,Uppsala län,Enkammarriksdagen,2010,2014,
9514,Agneta Luttropp,MP,Västmanlands län,Enkammarriksdagen,2010,2014,
9515,Allan Widman,FP,Malmö kommun,Enkammarriksdagen,2010,2014,
9516,Amineh Kakabaveh,V,Stockholms län,Enkammarriksdagen,2010,2014,
9517,Amir Adan,M,Stockholms kommun,Enkammarriksdagen,2010,2014,
9518,Anders Ahlgren,C,Dalarnas län,Enkammarriksdagen,2010,2014,
9519,Anders Andersson,KD,Kalmar län,Enkammarriksdagen,2010,2014,
9520,Anders Flanking(ersatt av Rickard Nordin),C,Göteborgs kommun,Enkammarriksdagen,2010,2014,
9521,Anders Hansson,M,Skåne läns södra,Enkammarriksdagen,2010,2014,
9522,Anders Karlsson,S,Skåne läns västra,Enkammarriksdagen,2010,2014,
9523,Anders Sellström,KD,Västerbottens län,Enkammarriksdagen,2010,2014,
9524,Anders W. Jonsson,C,Gävleborgs län,Enkammarriksdagen,2010,2014,
9525,Anders Ygeman,S,Stockholms kommun,Enkammarriksdagen,2010,2014,
9526,Anders Åkesson,C,Kalmar län,Enkammarriksdagen,2010,2014,
9527,Andreas Norlén,M,Östergötlands län,Enkammarriksdagen,2010,2014,
9528,Anette Åkesson,M,Skåne läns norra och östra,Enkammarriksdagen,2010,2014,
9529,Anita Brodén,FP,Västra Götalands läns norra,Enkammarriksdagen,2010,2014,
9530,Ann Arleklo,S,Skåne läns västra,Enkammarriksdagen,2010,2014,
9531,Ann-Britt Åsebol,M,Dalarnas län,Enkammarriksdagen,2010,2014,
9532,Ann-Charlotte Hammar Johnsson,M,Skåne läns västra,Enkammarriksdagen,2010,2014,
9533,Ann-Christin Ahlberg,S,Västra Götalands läns södra,Enkammarriksdagen,2010,2014,
9534,Ann-Kristine Johansson,S,Värmlands län,Enkammarriksdagen,2010,2014,
9535,Anna Hagwall,SD,Västra Götalands läns norra,Enkammarriksdagen,2010,2014,
9536,Anna Kinberg Batra,M,Stockholms län,Enkammarriksdagen,2010,2014,
9537,Anna Wallén,S,Västmanlands län,Enkammarriksdagen,2010,2014,
9538,Anna-Lena Sörenson,S,Östergötlands län,Enkammarriksdagen,2010,2014,
9539,Anne Marie Brodén,M,Hallands län,Enkammarriksdagen,2010,2014,
9540,Annelie Enochson,KD,Göteborgs kommun,Enkammarriksdagen,2010,2014,
9541,Annelie Karlsson,S,Skåne läns norra och östra,Enkammarriksdagen,2010,2014,
9542,Annicka Engblom,M,Blekinge län,Enkammarriksdagen,2010,2014,
9543,Annie Lööf(ersatt av Göran Lindell),C,Jönköpings län,Enkammarriksdagen,2010,2014,
9544,Annika Eclund,KD,Västra Götalands läns östra,Enkammarriksdagen,2010,2014,
9545,Annika Lillemets,MP,Östergötlands län,Enkammarriksdagen,2010,2014,
9546,Annika Qarlsson,C,Västra Götalands läns norra,Enkammarriksdagen,2010,2014,
9547,Anti Avsan,M,Stockholms län,Enkammarriksdagen,2010,2014,
9548,Ardalan Shekarabi,S,Stockholms län,Enkammarriksdagen,2010,2014,
9549,Arhe Hamednaca,S,Stockholms kommun,Enkammarriksdagen,2010,2014,
9550,Barbro Westerholm,FP,Stockholms kommun,Enkammarriksdagen,2010,2014,
9551,Beatrice Ask(ersatt av Cecilia Brinck),M,Stockholms kommun,Enkammarriksdagen,2010,2014,
9552,Bengt Berg,V,Värmlands län,Enkammarriksdagen,2010,2014,
9553,Bengt-Anders Johansson,M,Jönköpings län,Enkammarriksdagen,2010,2014,
9554,Berit Högman,S,Värmlands län,Enkammarriksdagen,2010,2014,
9555,Betty Malmberg,M,Östergötlands län,Enkammarriksdagen,2010,2014,
9556,Billy Gustafsson,S,Östergötlands län,Enkammarriksdagen,2010,2014,
9557,Birgitta Ohlsson(ersatt av Fredrik Malm),FP,Stockholms kommun,Enkammarriksdagen,2010,2014,
9558,Björn Leivik,M,Västra Götalands läns norra,Enkammarriksdagen,2010,2014,
9559,Björn Söder,SD,Stockholms län,Enkammarriksdagen,2010,2014,
9560,Björn von Sydow,S,Stockholms län,Enkammarriksdagen,2010,2014,
9561,Bo Bernhardsson,S,Skåne läns södra,Enkammarriksdagen,2010,2014,
9562,Bodil Ceballos,MP,Gävleborgs län,Enkammarriksdagen,2010,2014,
9563,Boriana Åberg,M,Skåne läns södra,Enkammarriksdagen,2010,2014,
9564,Börje Vestlund,S,Stockholms kommun,Enkammarriksdagen,2010,2014,
9565,Camilla Waltersson Grönvall,M,Västra Götalands läns norra,Enkammarriksdagen,2010,2014,
9566,Carin Runeson,S,Dalarnas län,Enkammarriksdagen,2010,2014,
9567,Carina Adolfsson Elgestam,S,Kronobergs län,Enkammarriksdagen,2010,2014,
9568,Carina Herrstedt,SD,Södermanlands län,Enkammarriksdagen,2010,2014,
9569,Carina Hägg,S,Jönköpings län,Enkammarriksdagen,2010,2014,
9570,Carina Ohlsson,S,Västra Götalands läns östra,Enkammarriksdagen,2010,2014,
9571,Carl B. Hamilton,FP,Stockholms kommun,Enkammarriksdagen,2010,2014,
9572,Carl-Oskar Bohlin,M,Dalarnas län,Enkammarriksdagen,2010,2014,
9573,Caroline Helmersson Olsson,S,Södermanlands län,Enkammarriksdagen,2010,2014,
9574,Catharina Bråkenhielm,S,Västra Götalands läns västra,Enkammarriksdagen,2010,2014,
9575,Cecilia Dalman Eek,S,Göteborgs kommun,Enkammarriksdagen,2010,2014,
9576,Cecilia Magnusson,M,Göteborgs kommun,Enkammarriksdagen,2010,2014,
9577,Cecilia Widegren,M,Västra Götalands läns östra,Enkammarriksdagen,2010,2014,
9578,Cecilie Tenfjord-Toftby,M,Västra Götalands läns södra,Enkammarriksdagen,2010,2014,
9579,Christer Adelsbo,S,Skåne läns norra och östra,Enkammarriksdagen,2010,2014,
9580,Christer Akej,M,Skåne läns norra och östra,Enkammarriksdagen,2010,2014,
9581,Christer Engelhardt,S,Gotlands län,Enkammarriksdagen,2010,2014,
9582,Christer Nylander,FP,Skåne läns norra och östra,Enkammarriksdagen,2010,2014,
9583,Christer Winbäck,FP,Västra Götalands läns östra,Enkammarriksdagen,2010,2014,
9584,Christian Holm,M,Värmlands län,Enkammarriksdagen,2010,2014,
9585,Christina Höj Larsen,V,Västernorrlands län,Enkammarriksdagen,2010,2014,
9586,Christina Oskarsson,S,Västra Götalands läns norra,Enkammarriksdagen,2010,2014,
9587,Christina Zedell,S,Stockholms län,Enkammarriksdagen,2010,2014,
9588,Clas-Göran Carlsson,S,Kronobergs län,Enkammarriksdagen,2010,2014,
9589,Cristina Husmark Pehrsson,M,Skåne läns västra,Enkammarriksdagen,2010,2014,
9590,David Lång,SD,Stockholms kommun,Enkammarriksdagen,2010,2014,
9591,Désirée Liljevall,S,Kalmar län,Enkammarriksdagen,2010,2014,
9592,Désirée Pethrus,KD,Stockholms län,Enkammarriksdagen,2010,2014,
9593,Edward Riedl,M,Västerbottens län,Enkammarriksdagen,2010,2014,
9594,Elin Lundgren,S,Gävleborgs län,Enkammarriksdagen,2010,2014,
9595,Elisabeth Björnsdotter Rahm,M,Västerbottens län,Enkammarriksdagen,2010,2014,
9596,Elisabeth Svantesson,M,Örebro län,Enkammarriksdagen,2010,2014,
9597,Eliza Roszkowska Öberg,M,Stockholms län,Enkammarriksdagen,2010,2014,
9598,Ellen Juntti,M,Västra Götalands läns västra,Enkammarriksdagen,2010,2014,
9599,Emil Källström,C,Västernorrlands län,Enkammarriksdagen,2010,2014,
9600,Emma Carlsson Löfdahl,FP,Jönköpings län,Enkammarriksdagen,2010,2014,
9601,Emma Henriksson,KD,Stockholms län,Enkammarriksdagen,2010,2014,
9602,Erik A. Eriksson,C,Värmlands län,Enkammarriksdagen,2010,2014,
9603,Erik Ullenhag(ersatt av Anna Steele),FP,Stockholms län,Enkammarriksdagen,2010,2014,
9604,Esabelle Dingizian,MP,Stockholms län,Enkammarriksdagen,2010,2014,
9605,Eskil Erlandsson(ersatt av Karin Nilsson),C,Kronobergs län,Enkammarriksdagen,2010,2014,
9606,Eva Bengtson Skogsberg,M,Kalmar län,Enkammarriksdagen,2010,2014,
9607,Eva Flyborg,FP,Göteborgs kommun,Enkammarriksdagen,2010,2014,
9608,Eva Lohman,M,Västernorrlands län,Enkammarriksdagen,2010,2014,
9609,Eva Olofsson,V,Göteborgs kommun,Enkammarriksdagen,2010,2014,
9610,Eva Sonidsson,S,Västernorrlands län,Enkammarriksdagen,2010,2014,
9611,Eva-Lena Jansson,S,Örebro län,Enkammarriksdagen,2010,2014,
9612,Ewa Björling(ersatt av Edip Noyan),M,Stockholms län,Enkammarriksdagen,2010,2014,
9613,Ewa Thalén Finné,M,Skåne läns södra,Enkammarriksdagen,2010,2014,
9614,Finn Bengtsson,M,Östergötlands län,Enkammarriksdagen,2010,2014,
9615,Fredrick Federley,C,Stockholms kommun,Enkammarriksdagen,2010,2014,
9616,Fredrik Lundh Sammeli,S,Norrbottens län,Enkammarriksdagen,2010,2014,
9617,Fredrik Olovsson,S,Södermanlands län,Enkammarriksdagen,2010,2014,
9618,Fredrik Reinfeldt(ersatt av Margareta Cederfelt),M,Stockholms kommun,Enkammarriksdagen,2010,2014,
9619,Fredrik Schulte,M,Stockholms län,Enkammarriksdagen,2010,2014,
9620,Gunilla Carlsson,S,Göteborgs kommun,Enkammarriksdagen,2010,2014,
9621,Gunilla Nordgren,M,Skåne läns södra,Enkammarriksdagen,2010,2014,
9622,Gunilla Svantorp,S,Värmlands län,Enkammarriksdagen,2010,2014,
9623,Gunnar Axén,M,Östergötlands län,Enkammarriksdagen,2010,2014,
9624,Gunnar Sandberg,S,Jämtlands län,Enkammarriksdagen,2010,2014,
9625,Gunvor G. Ericson,MP,Södermanlands län,Enkammarriksdagen,2010,2014,
9626,Gustaf Hoffstedt,M,Gotlands län,Enkammarriksdagen,2010,2014,
9627,Gustav Blix,M,Stockholms kommun,Enkammarriksdagen,2010,2014,
9628,Gustav Fridolin,MP,Skåne läns norra och östra,Enkammarriksdagen,2010,2014,
9629,Gustav Nilsson,M,Blekinge län,Enkammarriksdagen,2010,2014,
9630,Göran Hägglund(ersatt av Caroline Szyber),KD,Stockholms kommun,Enkammarriksdagen,2010,2014,
9631,Göran Montan,M,Skåne läns norra och östra,Enkammarriksdagen,2010,2014,
9632,Göran Pettersson,M,Stockholms län,Enkammarriksdagen,2010,2014,
9633,Hanif Bali,M,Stockholms län,Enkammarriksdagen,2010,2014,
9634,Hannah Bergstedt,S,Norrbottens län,Enkammarriksdagen,2010,2014,
9635,Hans Backman,FP,Gävleborgs län,Enkammarriksdagen,2010,2014,
9636,Hans Ekström,S,Södermanlands län,Enkammarriksdagen,2010,2014,
9637,Hans Hoff,S,Hallands län,Enkammarriksdagen,2010,2014,
9638,Hans Linde,V,Göteborgs kommun,Enkammarriksdagen,2010,2014,
9639,Hans Olsson,S,Västra Götalands läns södra,Enkammarriksdagen,2010,2014,
9640,Hans Rothenberg,M,Göteborgs kommun,Enkammarriksdagen,2010,2014,
9641,Hans Wallmark,M,Skåne läns norra och östra,Enkammarriksdagen,2010,2014,
9642,Helena Bouveng,M,Jönköpings län,Enkammarriksdagen,2010,2014,
9643,Helena Leander,MP,Uppsala län,Enkammarriksdagen,2010,2014,
9644,Helena Lindahl,C,Västerbottens län,Enkammarriksdagen,2010,2014,
9645,Helene Petersson,S,Jönköpings län,Enkammarriksdagen,2010,2014,
9646,Helén Pettersson,S,Västerbottens län,Enkammarriksdagen,2010,2014,
9647,Henrik von Sydow,M,Hallands län,Enkammarriksdagen,2010,2014,
9648,Hillevi Engström(ersatt av Bino Drummond)[1],M,Stockholms län,Enkammarriksdagen,2010,2014,
9649,Hillevi Larsson,S,Malmö kommun,Enkammarriksdagen,2010,2014,
9650,Håkan Bergman,S,Örebro län,Enkammarriksdagen,2010,2014,
9651,Håkan Juholt,S,Kalmar län,Enkammarriksdagen,2010,2014,
9652,Ibrahim Baylan,S,Västerbottens län,Enkammarriksdagen,2010,2014,
9653,Ingela Nylund Watz,S,Stockholms län,Enkammarriksdagen,2010,2014,
9654,Ingemar Nilsson,S,Västernorrlands län,Enkammarriksdagen,2010,2014,
9655,Isabella Jernbeck,M,Stockholms län,Enkammarriksdagen,2010,2014,
9656,Isak From,S,Västerbottens län,Enkammarriksdagen,2010,2014,
9657,Ismail Kamil,FP,Uppsala län,Enkammarriksdagen,2010,2014,
9658,Jabar Amin,MP,Västerbottens län,Enkammarriksdagen,2010,2014,
9659,Jacob Johnson,V,Uppsala län,Enkammarriksdagen,2010,2014,
9660,Jan Björklund(ersatt av Gunnar Andrén),FP,Stockholms län,Enkammarriksdagen,2010,2014,
9661,Jan Ericson,M,Västra Götalands läns södra,Enkammarriksdagen,2010,2014,
9662,Jan Ertsborn,FP,Hallands län,Enkammarriksdagen,2010,2014,
9663,Jan Lindholm,MP,Dalarnas län,Enkammarriksdagen,2010,2014,
9664,Jan R. Andersson,M,Kalmar län,Enkammarriksdagen,2010,2014,
9665,Jan-Evert Rådhström,M,Värmlands län,Enkammarriksdagen,2010,2014,
9666,Jan-Olof Larsson,S,Västra Götalands läns västra,Enkammarriksdagen,2010,2014,
9667,Jasenko Omanović,S,Västernorrlands län,Enkammarriksdagen,2010,2014,
9668,Jennie Nilsson,S,Hallands län,Enkammarriksdagen,2010,2014,
9669,Jenny Petersson,M,Hallands län,Enkammarriksdagen,2010,2014,
9670,Jens Holm,V,Stockholms kommun,Enkammarriksdagen,2010,2014,
9671,Jessica Polfjärd,M,Västmanlands län,Enkammarriksdagen,2010,2014,
9672,Jessica Rosencrantz,M,Stockholms kommun,Enkammarriksdagen,2010,2014,
9673,Jessika Vilhelmsson,M,Uppsala län,Enkammarriksdagen,2010,2014,
9674,Jimmie Åkesson,SD,Jönköpings län,Enkammarriksdagen,2010,2014,
9675,Johan Andersson,S,Östergötlands län,Enkammarriksdagen,2010,2014,
9676,Johan Forssell,M,Stockholms kommun,Enkammarriksdagen,2010,2014,
9677,Johan Hultberg,M,Kronobergs län,Enkammarriksdagen,2010,2014,
9678,Johan Johansson,M,Norrbottens län,Enkammarriksdagen,2010,2014,
9679,Johan Linander,C,Skåne läns södra,Enkammarriksdagen,2010,2014,
9680,Johan Löfstrand,S,Östergötlands län,Enkammarriksdagen,2010,2014,
9681,Johan Pehrson,FP,Örebro län,Enkammarriksdagen,2010,2014,
9682,Johnny Skalin,SD,Västra Götalands läns västra,Enkammarriksdagen,2010,2014,
9683,Jonas Eriksson,MP,Örebro län,Enkammarriksdagen,2010,2014,
9684,Jonas Gunnarsson,S,Värmlands län,Enkammarriksdagen,2010,2014,
9685,Jonas Jacobsson Gjörtler,M,Skåne läns västra,Enkammarriksdagen,2010,2014,
9686,Jonas Sjöstedt,V,Västerbottens län,Enkammarriksdagen,2010,2014,
9687,Jonas Åkerlund,SD,Blekinge län,Enkammarriksdagen,2010,2014,
9688,Josef Fransson,SD,Malmö kommun,Enkammarriksdagen,2010,2014,
9689,Josefin Brink,V,Stockholms kommun,Enkammarriksdagen,2010,2014,
9690,Julia Kronlid,SD,Skåne läns södra,Enkammarriksdagen,2010,2014,
9691,Jörgen Andersson,M,Kalmar län,Enkammarriksdagen,2010,2014,
9692,Jörgen Hellman,S,Västra Götalands läns norra,Enkammarriksdagen,2010,2014,
9693,Karin Enström(ersatt av Björn Samuelson),M,Stockholms län,Enkammarriksdagen,2010,2014,
9694,Karin Granbom,FP,Östergötlands län,Enkammarriksdagen,2010,2014,
9695,Karin Åström,S,Norrbottens län,Enkammarriksdagen,2010,2014,
9696,Karl Sigfrid,M,Stockholms län,Enkammarriksdagen,2010,2014,
9697,Katarina Brännström,M,Kronobergs län,Enkammarriksdagen,2010,2014,
9698,Katarina Köhler,S,Västerbottens län,Enkammarriksdagen,2010,2014,
9699,Kenneth G. Forslund,S,Västra Götalands läns västra,Enkammarriksdagen,2010,2014,
9700,Kent Ekeroth,SD,Stockholms län,Enkammarriksdagen,2010,2014,
9701,Kent Härstedt,S,Skåne läns västra,Enkammarriksdagen,2010,2014,
9702,Kent Persson,V,Västmanlands län,Enkammarriksdagen,2010,2014,
9703,Kerstin Engle,S,Skåne läns norra och östra,Enkammarriksdagen,2010,2014,
9704,Kerstin Haglö,S,Blekinge län,Enkammarriksdagen,2010,2014,
9705,Kerstin Lundgren,C,Stockholms län,Enkammarriksdagen,2010,2014,
9706,Kerstin Nilsson,S,Skåne läns södra,Enkammarriksdagen,2010,2014,
9707,Kew Nordqvist,MP,Jönköpings län,Enkammarriksdagen,2010,2014,
9708,Krister Hammarbergh,M,Norrbottens län,Enkammarriksdagen,2010,2014,
9709,Krister Örnfjäder,S,Kalmar län,Enkammarriksdagen,2010,2014,
9710,Kristina Nilsson,S,Västernorrlands län,Enkammarriksdagen,2010,2014,
9711,Kurt Kvarnström,S,Dalarnas län,Enkammarriksdagen,2010,2014,
9712,Lars Beckman,M,Gävleborgs län,Enkammarriksdagen,2010,2014,
9713,Lars Elinderson,M,Västra Götalands läns östra,Enkammarriksdagen,2010,2014,
9714,Lars Eriksson,S,Västmanlands län,Enkammarriksdagen,2010,2014,
9715,Lars Gustafsson,KD,Hallands län,Enkammarriksdagen,2010,2014,
